A Hard Day's Night	A Hard Day's Night	1	Rock	154253	3781440
I Should Have Known Better	A Hard Day's Night	2	Pop	163134	3994605
Come Together	Abbey Road	1	Pop	260022	6287639
Something	Abbey Road	2	Pop	182360	4423733
Maxwell's Silver Hammer	Abbey Road	3	Pop	207986	5038787
Help!	Help!	1	Pop	139624	3398235
The Night Before	Help!	2	Pop	155010	3767513
You've Got To Hide Your Love Away	Help!	3	Folk	129175	3147487
I Need You	Help!	4	Pop	148845	3619537
Two Of Us	Let It Be	1	Pop	216868	5254866
Dig A Pony	Let It Be	2	Pop	235075	5691849
Across The Universe	Let It Be	3	Pop	228205	5526973
I Me Mine	Let It Be	4	Rock	145658	3545996
Dig It	Let It Be	5	Pop	50520	1262519
